Process,Image Path,Max Temp,Min Temp,X_0,Y_0,Z_0,Vis_0,Pres_0,X_1,Y_1,Z_1,Vis_1,Pres_1,X_2,Y_2,Z_2,Vis_2,Pres_2,X_3,Y_3,Z_3,Vis_3,Pres_3,X_4,Y_4,Z_4,Vis_4,Pres_4,X_5,Y_5,Z_5,Vis_5,Pres_5,X_6,Y_6,Z_6,Vis_6,Pres_6,X_7,Y_7,Z_7,Vis_7,Pres_7,X_8,Y_8,Z_8,Vis_8,Pres_8,X_9,Y_9,Z_9,Vis_9,Pres_9,X_10,Y_10,Z_10,Vis_10,Pres_10,X_11,Y_11,Z_11,Vis_11,Pres_11,X_12,Y_12,Z_12,Vis_12,Pres_12,X_13,Y_13,Z_13,Vis_13,Pres_13,X_14,Y_14,Z_14,Vis_14,Pres_14,X_15,Y_15,Z_15,Vis_15,Pres_15,X_16,Y_16,Z_16,Vis_16,Pres_16,X_17,Y_17,Z_17,Vis_17,Pres_17,X_18,Y_18,Z_18,Vis_18,Pres_18,X_19,Y_19,Z_19,Vis_19,Pres_19,X_20,Y_20,Z_20,Vis_20,Pres_20,X_21,Y_21,Z_21,Vis_21,Pres_21,X_22,Y_22,Z_22,Vis_22,Pres_22,X_23,Y_23,Z_23,Vis_23,Pres_23,X_24,Y_24,Z_24,Vis_24,Pres_24,X_25,Y_25,Z_25,Vis_25,Pres_25,X_26,Y_26,Z_26,Vis_26,Pres_26,X_27,Y_27,Z_27,Vis_27,Pres_27,X_28,Y_28,Z_28,Vis_28,Pres_28,X_29,Y_29,Z_29,Vis_29,Pres_29,X_30,Y_30,Z_30,Vis_30,Pres_30,X_31,Y_31,Z_31,Vis_31,Pres_31,X_32,Y_32,Z_32,Vis_32,Pres_32,torso_x,torso_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y,torso_temp,left_hand_temp,right_hand_temp,left_foot_temp,right_foot_temp
False,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153213.jpeg,41.9,33.8,1469,1676,-0.21171335875988007,0.999992847442627,0.9999963045120239,1468,1654,-0.1957862675189972,0.9999779462814331,0.9999741315841675,1476,1650,-0.19593168795108795,0.9999587535858154,0.999962568283081,1484,1646,-0.1959606558084488,0.999966025352478,0.9999139308929443,1445,1668,-0.20334093272686005,0.999993085861206,0.999982476234436,1437,1675,-0.20347337424755096,0.9999911785125732,0.9999840259552002,1429,1681,-0.2035350203514099,0.9999948740005493,0.9999772310256958,1504,1669,-0.11954695731401443,0.9999328851699829,0.9998283386230469,1429,1716,-0.15507623553276062,0.9999755620956421,0.9999713897705078,1502,1700,-0.18277764320373535,0.9997909665107727,0.9998998641967773,1470,1720,-0.194087952375412,0.9999412298202515,0.9999535083770752,1588,1794,-0.06577770411968231,0.9995707869529724,0.9995577931404114,1537,1854,-0.13037939369678497,0.9999738931655884,0.9999692440032959,1698,1759,-0.07996034622192383,0.014960733242332935,0.9969367980957031,1701,1936,-0.131513774394989,0.4258805215358734,0.9997507929801941,1676,1731,-0.1403171569108963,0.008944322355091572,0.9968889355659485,1791,1992,-0.1392829865217209,0.8221738934516907,0.999976634979248,1670,1727,-0.1555115282535553,0.016936685889959335,0.9944750666618347,1807,2011,-0.1549026072025299,0.7746231555938721,0.9999134540557861,1654,1724,-0.1616079956293106,0.01606983318924904,0.9941768646240234,1807,2006,-0.16715161502361298,0.7905604839324951,0.999920129776001,1658,1728,-0.14464986324310303,0.01516443956643343,0.9965292811393738,1805,1998,-0.14465756714344025,0.7174490690231323,0.9999654293060303,1797,1972,0.021066630259156227,0.9998453855514526,0.9999731779098511,1796,2009,-0.021344054490327835,0.9999109506607056,0.9999828338623047,1794,1817,0.022858478128910065,0.14157690107822418,0.9999551773071289,1807,1866,-0.005461285822093487,0.10612606257200241,0.9999873638153076,1899,1693,0.09243801981210709,0.09756931662559509,0.9998401403427124,1841,1924,0.10786532610654831,0.07097939401865005,0.9998445510864258,1929,1697,0.09853073954582214,0.17905250191688538,0.9995825886726379,1852,1948,0.12053756415843964,0.06662245094776154,0.9997493624687195,1910,1612,0.09666687995195389,0.15872922539710999,0.9993665814399719,1846,1910,0.1258450597524643,0.07865624129772186,0.9995825886726379
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153315.jpeg,41.7,33.7,1376,1831,-0.25987762212753296,0.9985916018486023,0.9961095452308655,1396,1704,-0.27872222661972046,0.99716717004776,0.9972559809684753,1418,1689,-0.2794751226902008,0.9976557493209839,0.9979655742645264,1434,1677,-0.27942919731140137,0.9983199238777161,0.9979425072669983,1373,1723,-0.22191910445690155,0.9969087243080139,0.9953017234802246,1378,1724,-0.222641721367836,0.9976581335067749,0.9961722493171692,1379,1726,-0.2229769080877304,0.9978498220443726,0.9960785508155823,1566,1612,-0.3109847903251648,0.9993163347244263,0.9985131621360779,1472,1717,-0.05107730254530907,0.9969769716262817,0.9964011907577515,1490,1868,-0.26136717200279236,0.9988589286804199,0.9983867406845093,1450,1884,-0.19190241396427155,0.9982611536979675,0.9961007833480835,1992,1461,-0.3415805399417877,0.9996765851974487,0.9994276165962219,1850,2154,0.1254071742296219,0.9977442026138306,0.9938462376594543,2486,1095,-0.33120015263557434,0.9790394902229309,0.9951258301734924,1854,2438,0.27158215641975403,0.7274572253227234,0.9850805401802063,3046,870,-0.3768179416656494,0.9759900569915771,0.9896876215934753,1530,2145,0.26511484384536743,0.9467722773551941,0.9989783763885498,3253,864,-0.41806161403656006,0.9670529365539551,0.9627046585083008,1427,2101,0.24297276139259338,0.9390014410018921,0.997803270816803,3241,986,-0.4552818536758423,0.9710280299186707,0.9660231471061707,1418,2067,0.22287596762180328,0.9465641975402832,0.998213529586792,3181,1021,-0.3866693675518036,0.9600868225097656,0.980588972568512,1474,2086,0.2494378536939621,0.9441003203392029,0.9990226030349731,3102,1698,-0.11351729184389114,0.8030663728713989,0.6413400769233704,3062,2200,0.11306457221508026,0.7408484816551208,0.48805946111679077,4097,1657,-0.0985633060336113,0.02333749644458294,0.032835375517606735,3720,2381,0.022671105340123177,0.017623987048864365,0.06737320125102997,5126,1784,0.1039281040430069,0.014402405358850956,0.011407369747757912,4876,2424,0.2101755440235138,0.007703068200498819,0.01599527895450592,5266,1764,0.11113778501749039,0.015519835986196995,0.00876716710627079,5027,2407,0.2221885621547699,0.011953098699450493,0.021724360063672066,5391,2013,-0.1418287307024002,0.01862747222185135,0.02943583019077778,5219,2438,0.02636817656457424,0.009820452891290188,0.03227223828434944,1921,1808,1462,2100,3180,935,None,None,None,None,41.29,nan,nan,nan,nan
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153416.jpeg,41.6,33.6,1532,1736,-0.6453956365585327,0.9989144802093506,0.9960624575614929,1487,1682,-0.6383349895477295,0.9971722960472107,0.9939883947372437,1496,1665,-0.6388723850250244,0.9968611001968384,0.9943886399269104,1509,1624,-0.6388294100761414,0.997179388999939,0.9916803240776062,1473,1734,-0.6124420166015625,0.9976892471313477,0.994361400604248,1472,1769,-0.6129886507987976,0.998044490814209,0.9957287907600403,1468,1786,-0.6134936213493347,0.998430073261261,0.9952008724212646,1613,1516,-0.5491665601730347,0.9984720349311829,0.9918375611305237,1523,1772,-0.42730283737182617,0.9979033470153809,0.9962933659553528,1630,1741,-0.6057944893836975,0.9970857501029968,0.9955594539642334,1611,1795,-0.5732750296592712,0.9967984557151794,0.9911077618598938,2043,1378,-0.45123258233070374,0.9987863898277283,0.9969552755355835,1796,1970,-0.29434987902641296,0.9980931878089905,0.9941954016685486,2540,1082,-0.48127347230911255,0.921221911907196,0.9566309452056885,1856,2367,-0.3744705617427826,0.8090966939926147,0.9838845133781433,3142,813,-0.5673564672470093,0.7697025537490845,0.7929332852363586,1520,2186,-0.5190645456314087,0.9667450189590454,0.9997146725654602,3302,721,-0.5984684228897095,0.6877738833427429,0.599036693572998,1414,2171,-0.5696663856506348,0.9422557353973389,0.9994811415672302,3333,810,-0.6486343741416931,0.7121840715408325,0.6042740345001221,1412,2090,-0.5660820007324219,0.9440250992774963,0.9995856881141663,3259,872,-0.5887682437896729,0.7219057679176331,0.7227599024772644,1463,2080,-0.5262895226478577,0.9370871186256409,0.9997773766517639,2657,1673,-0.051922548562288284,0.9862500429153442,0.9735882878303528,2594,2040,0.05152389034628868,0.9897502064704895,0.9785373210906982,3337,1489,0.12864071130752563,0.054541368037462234,0.32736513018608093,2956,2255,0.21852073073387146,0.04936855286359787,0.7842451930046082,3583,1247,0.43887102603912354,0.03778742998838425,0.18374596536159515,3412,2244,0.5641583204269409,0.021020157262682915,0.3680878281593323,3645,1207,0.461841881275177,0.06846441328525543,0.12074527889490128,3498,2211,0.5970147252082825,0.03982512280344963,0.35991814732551575,3648,1250,0.32406726479530334,0.032011520117521286,0.19174112379550934,3556,2356,0.4994424283504486,0.015532495453953743,0.34329017996788025,1920,1674,1452,2132,3200,842,None,None,None,None,41.19,nan,nan,nan,nan
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153517.jpeg,41.5,33.6,1379,1899,-0.22048328816890717,0.9924483299255371,0.9867148995399475,1376,1741,-0.26302504539489746,0.988677442073822,0.9898087978363037,1396,1722,-0.2639467716217041,0.9876370429992676,0.9917556047439575,1414,1704,-0.2638351619243622,0.9924973249435425,0.9906030893325806,1353,1751,-0.18756087124347687,0.9891407489776611,0.9860827326774597,1355,1743,-0.18862107396125793,0.990134060382843,0.989175021648407,1354,1739,-0.18900270760059357,0.9932330250740051,0.9890195727348328,1578,1621,-0.34632420539855957,0.9944953322410583,0.9911818504333496,1473,1693,-0.00048464766587130725,0.9841977953910828,0.9891906976699829,1492,1946,-0.23055872321128845,0.9898781776428223,0.9882461428642273,1463,1959,-0.1388895958662033,0.9860107898712158,0.976689338684082,2074,1510,-0.414325475692749,0.9965381622314453,0.9871928691864014,1892,2114,0.2283635437488556,0.9882584810256958,0.9552247524261475,2677,1028,-0.4707518219947815,0.47848522663116455,0.8066536784172058,1854,2267,0.4863332211971283,0.11938316375017166,0.8558598160743713,3349,858,-0.6004551649093628,0.1334933489561081,0.36110034584999084,1661,2165,0.4860701262950897,0.17099565267562866,0.8236575722694397,3628,796,-0.6642823219299316,0.12835833430290222,0.22913287580013275,1585,2130,0.4569108784198761,0.1919064074754715,0.7016342282295227,3641,848,-0.7198939323425293,0.15053266286849976,0.25496822595596313,1528,2101,0.38444748520851135,0.2366873025894165,0.723717451095581,3576,905,-0.6201477646827698,0.1351836621761322,0.31806302070617676,1636,2122,0.4442926049232483,0.23595869541168213,0.800994873046875,3580,1818,-0.17726822197437286,0.1827876716852188,0.06312547624111176,3471,2281,0.176320880651474,0.16295766830444336,0.05139332637190819,4862,1732,-0.06234196200966835,0.0013035049196332693,0.006044622045010328,4284,2467,0.21559090912342072,0.000682267767842859,0.016354089602828026,6398,2012,0.053228557109832764,0.0011056899093091488,0.001359477173537016,5973,2689,0.4848904609680176,0.00048396390047855675,0.0025736831594258547,6652,2019,0.04275401309132576,0.002019808627665043,0.0010542911477386951,6234,2679,0.4985673129558563,0.0013892746064811945,0.00367581844329834,6589,2233,-0.31363242864608765,0.0014283763011917472,0.004550697281956673,6272,2826,0.26296719908714294,0.0007064066012389958,0.007908578030765057,1983,1812,None,None,None,None,None,None,None,None,41.10,nan,nan,nan,nan
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153618.jpeg,41.7,33.8,1475,1886,-0.3720734715461731,0.9989603757858276,0.9998667240142822,1475,1749,-0.42180782556533813,0.9989476799964905,0.999937891960144,1493,1736,-0.42252883315086365,0.9992138147354126,0.9999494552612305,1508,1725,-0.4222947061061859,0.9992225170135498,0.9999392032623291,1455,1748,-0.31684282422065735,0.9989368319511414,0.999901294708252,1459,1738,-0.3177693486213684,0.9993846416473389,0.9999167919158936,1459,1729,-0.3180263638496399,0.9992859959602356,0.9999040365219116,1676,1657,-0.5068696737289429,0.9998341798782349,0.9999336004257202,1609,1683,-0.032318443059921265,0.9992300271987915,0.9998892545700073,1594,1945,-0.3822217583656311,0.9993738532066345,0.9998774528503418,1577,1951,-0.252071350812912,0.998801589012146,0.9996936321258545,2356,1626,-0.6218216419219971,0.9998225569725037,0.9997745156288147,1866,2070,0.18434835970401764,0.9990473389625549,0.9987332224845886,2807,1721,-1.0641703605651855,0.9652242064476013,0.7835195064544678,2148,2488,-0.12188230454921722,0.07296319305896759,0.4576113820075989,1966,2137,-1.2572158575057983,0.9130437970161438,0.940971314907074,1855,2338,-0.8433817028999329,0.26738011837005615,0.8366140127182007,1799,2199,-1.371741771697998,0.881557822227478,0.949056088924408,1898,2485,-0.9765350818634033,0.41473618149757385,0.9195427894592285,1811,2174,-1.32309889793396,0.8933306336402893,0.9662678837776184,1867,2408,-1.0041568279266357,0.488741934299469,0.9439013600349426,1834,2176,-1.2344248294830322,0.8187471032142639,0.9640814065933228,1904,2401,-0.8836183547973633,0.45025140047073364,0.9391023516654968,3396,2911,-0.17571908235549927,0.1153031662106514,0.015523115172982216,2870,3224,0.1751568764448166,0.07260354608297348,0.011061086319386959,4202,4135,-0.4457179307937622,0.008879845030605793,0.009329366497695446,3501,4256,-0.40266552567481995,0.013210415840148926,0.010888740420341492,4969,5212,-0.18530941009521484,0.012341365218162537,0.016081003472208977,4192,5526,-0.057071126997470856,0.009983801282942295,0.008687164634466171,5170,5349,-0.18787887692451477,0.01728358119726181,0.010197246447205544,4364,5726,-0.0369306355714798,0.02162167616188526,0.01271053683012724,4794,5615,-0.6660864949226379,0.021278899163007736,0.04694559797644615,4155,5834,-0.3937312364578247,0.02249070070683956,0.03925689682364464,2111,1848,None,None,None,None,None,None,None,None,41.30,nan,nan,nan,nan
False,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153720.jpeg,41.6,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153821.jpeg,41.6,33.4,1399,1924,-0.35316717624664307,0.9884979128837585,0.9805183410644531,1389,1796,-0.41278424859046936,0.9810168147087097,0.9833040237426758,1406,1779,-0.41347602009773254,0.9808667898178101,0.9866411089897156,1418,1764,-0.41328150033950806,0.9868006706237793,0.9843382239341736,1384,1793,-0.3253835141658783,0.9853503704071045,0.9801468253135681,1398,1773,-0.3264195919036865,0.9884693026542664,0.9858002662658691,1409,1755,-0.32696080207824707,0.9914348721504211,0.9867276549339294,1590,1677,-0.5694482326507568,0.9941489696502686,0.9884173274040222,1562,1665,-0.16491803526878357,0.990295946598053,0.9927769899368286,1526,1947,-0.3930755853652954,0.9919833540916443,0.9924134612083435,1518,1953,-0.2819291949272156,0.9868202805519104,0.9829928278923035,2304,1497,-0.5949133038520813,0.9982740879058838,0.9944899082183838,1886,2068,-0.028693122789263725,0.993812084197998,0.9891553521156311,2883,1125,-0.7768619060516357,0.8183996677398682,0.8016303777694702,1898,2296,0.16560274362564087,0.10416323691606522,0.9140796661376953,3706,1001,-0.9262571930885315,0.5022402405738831,0.3427332043647766,1709,2180,0.1933322548866272,0.3550124764442444,0.9698122143745422,3905,863,-0.9788461327552795,0.44452622532844543,0.17982767522335052,1579,2107,0.18112358450889587,0.34386229515075684,0.948398768901825,3890,934,-1.0344345569610596,0.500788688659668,0.21484622359275818,1583,2084,0.12599827349185944,0.40030694007873535,0.9515819549560547,3822,1011,-0.9506552219390869,0.4783979058265686,0.2972765564918518,1631,2100,0.161138653755188,0.3899395763874054,0.9676335453987122,3355,2434,-0.15963688492774963,0.2992873191833496,0.10518017411231995,2992,2690,0.15887993574142456,0.2476324886083603,0.14028453826904297,4061,3278,-0.10863068699836731,0.002875502919778228,0.023324521258473396,3255,3514,0.2656998634338379,0.000812759215477854,0.0797894150018692,4755,4265,0.10228439420461655,0.003618041053414345,0.011216946877539158,3892,4482,0.5666465163230896,0.000652118818834424,0.00904512032866478,4943,4361,0.10788235813379288,0.011345780454576015,0.0062624020501971245,4048,4609,0.590072512626648,0.002793538384139538,0.012464037165045738,4586,4665,-0.1896110475063324,0.005169361364096403,0.02307043969631195,3877,4783,0.42271995544433594,0.0012993377167731524,0.03336068242788315,2095,1782,None,None,None,None,None,None,None,None,41.18,nan,nan,nan,nan
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153923.jpeg,41.6,33.7,1697,1909,-1.2912614345550537,0.7256644368171692,0.6319645047187805,1691,1747,-1.3225923776626587,0.5230295062065125,0.6156689524650574,1720,1719,-1.3235793113708496,0.49951231479644775,0.6725828051567078,1752,1694,-1.3234424591064453,0.5781078934669495,0.629254937171936,1616,1801,-1.295896053314209,0.630029559135437,0.5080528855323792,1579,1759,-1.2971680164337158,0.6648524403572083,0.557766854763031,1529,1779,-1.2981677055358887,0.7179120779037476,0.5360599756240845,1844,1602,-1.2169647216796875,0.7016072273254395,0.6931129693984985,1593,1756,-1.0879623889923096,0.6522197723388672,0.6005369424819946,1814,1897,-1.2196968793869019,0.6224514842033386,0.6800093650817871,1722,1965,-1.1889451742172241,0.5531001091003418,0.4536060392856598,2296,1512,-0.9483434557914734,0.9852136969566345,0.9213576912879944,1682,2137,-0.8056448101997375,0.9239417910575867,0.728456974029541,2907,949,-0.9039246439933777,0.7435291409492493,0.7985602617263794,1929,2192,-0.45739999413490295,0.10586759448051453,0.7806847095489502,3568,856,-0.9987084865570068,0.30809643864631653,0.28475600481033325,1685,2161,-0.1412508338689804,0.16485695540905,0.8196888566017151,3737,772,-1.031998872756958,0.24240092933177948,0.10320506244897842,1512,2105,-0.14058732986450195,0.12571418285369873,0.6658172011375427,3713,866,-1.1144200563430786,0.2943365275859833,0.10484233498573303,1498,2097,-0.20189562439918518,0.1536492109298706,0.6101735234260559,3634,927,-1.0329095125198364,0.3175264596939087,0.1678885668516159,1583,2173,-0.16628402471542358,0.13886886835098267,0.7354854345321655,2775,2825,-0.04327693209052086,0.8147073984146118,0.7267350554466248,2379,3019,0.04232253506779671,0.7662832736968994,0.7146573662757874,3222,3751,0.14589035511016846,0.008019155822694302,0.145013689994812,2542,3935,0.40981829166412354,0.006603160873055458,0.21357883512973785,3598,4840,0.5754817128181458,0.0065980455838143826,0.054308414459228516,2882,5163,0.873910129070282,0.011397521942853928,0.018526222556829453,3685,4938,0.6066049337387085,0.009916109032928944,0.027476143091917038,2963,5321,0.9128870964050293,0.010174699127674103,0.021428139880299568,3559,5313,0.3243243992328644,0.005912041291594505,0.030322091653943062,2916,5590,0.6749213337898254,0.007276108954101801,0.01733696274459362,1989,1824,None,None,None,None,None,None,None,None,41.20,nan,nan,nan,nan
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154024.jpeg,41.5,33.7,1532,1758,-0.03594561666250229,0.9975270628929138,0.9978959560394287,1495,1683,-0.043177731335163116,0.9946237802505493,0.9974116683006287,1515,1666,-0.043686166405677795,0.9958848357200623,0.9975322484970093,1526,1639,-0.043485935777425766,0.9950442314147949,0.9966139197349548,1471,1728,0.012013927102088928,0.9961495399475098,0.997134804725647,1470,1742,0.011362672783434391,0.9971773624420166,0.9976916313171387,1467,1756,0.010855739936232567,0.9969532489776611,0.9977116584777832,1636,1535,-0.06341517716646194,0.998781144618988,0.998496413230896,1580,1754,0.19739562273025513,0.9986653327941895,0.9991993308067322,1682,1772,-0.03562617301940918,0.9950518012046814,0.9971914887428284,1644,1810,0.03545283153653145,0.9933145642280579,0.9916613101959229,2152,1370,-0.05369039624929428,0.9967045187950134,0.9930376410484314,1963,2036,0.2974887490272522,0.9960979223251343,0.9887511134147644,2690,1013,-0.11278379708528519,0.545370876789093,0.7516061663627625,1804,2305,0.6663338541984558,0.3513261377811432,0.9777269959449768,3325,702,-0.054807472974061966,0.5065992474555969,0.5933109521865845,1538,2063,0.9961089491844177,0.9084837436676025,0.9995008707046509,3567,619,-0.039202719926834106,0.5091932415962219,0.44280800223350525,1409,2042,1.0436789989471436,0.9105245471000671,0.9991264939308167,3583,661,-0.08857414871454239,0.5670445561408997,0.5095176696777344,1420,1960,1.033363699913025,0.9238615036010742,0.9991518259048462,3530,740,-0.07139980047941208,0.5461899638175964,0.6099071502685547,1491,1959,0.9943071007728577,0.9182934761047363,0.9994609951972961,2985,2140,-0.12790347635746002,0.4067811667919159,0.15132302045822144,2715,2455,0.12759509682655334,0.4446207582950592,0.2173357456922531,3462,2269,-0.08446336537599564,0.010660765692591667,0.1321013867855072,2861,2965,0.3701664209365845,0.0042060986161231995,0.26706036925315857,4087,2447,0.014882311224937439,0.01208643987774849,0.03548996150493622,3391,3272,0.7146953344345093,0.0020161056891083717,0.030980253592133522,4247,2444,0.018187323585152626,0.03117191232740879,0.01848898082971573,3516,3280,0.7481452822685242,0.007573222275823355,0.04316851124167442,4054,2647,-0.17864492535591125,0.017332648858428,0.04276638850569725,3471,3503,0.6682843565940857,0.003023203695192933,0.0910351499915123,2058,1703,1464,2006,None,None,None,None,None,None,41.10,39.54,nan,nan,nan
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154125.jpeg,41.5,33.7,1366,1983,-0.7500981688499451,0.9799862504005432,0.9325200319290161,1410,1794,-0.8052537441253662,0.9811123609542847,0.9568350315093994,1444,1770,-0.8061158061027527,0.9797836542129517,0.9584763646125793,1478,1745,-0.8059542179107666,0.9806797504425049,0.9447314739227295,1364,1814,-0.7056403756141663,0.9872150421142578,0.957182765007019,1362,1813,-0.7066002488136292,0.9911634922027588,0.9663719534873962,1355,1813,-0.7070379853248596,0.9928285479545593,0.9655935168266296,1717,1652,-0.9140835404396057,0.9895201921463013,0.8866779208183289,1525,1754,-0.4675113558769226,0.989487886428833,0.9533573985099792,1506,2073,-0.7685961723327637,0.9489624500274658,0.7702770829200745,1463,2078,-0.6484496593475342,0.9525103569030762,0.7514957785606384,2325,2089,-0.991989016532898,0.8915071487426758,0.3920777142047882,2071,1712,-0.1336207538843155,0.8936604857444763,0.669151246547699,2525,1859,-0.8147739171981812,0.8462575078010559,0.052797649055719376,2251,1307,0.17711056768894196,0.03967480733990669,0.14844779670238495,1967,2124,-0.4452047348022461,0.2866455018520355,0.16147248446941376,1746,1808,0.308002233505249,0.01919223740696907,0.5354006886482239,1851,2193,-0.48569950461387634,0.3191119134426117,0.27648216485977173,1583,1902,0.3159078359603882,0.03674398735165596,0.6469360589981079,1762,2197,-0.48785853385925293,0.31921592354774475,0.28127914667129517,1614,2018,0.20891764760017395,0.04512110725045204,0.5990135073661804,1780,2146,-0.43562251329421997,0.2705240547657013,0.27404800057411194,1666,1979,0.2581918239593506,0.051847003400325775,0.6368152499198914,4087,2115,-0.27485963702201843,0.05817975848913193,0.002160805044695735,3878,1943,0.27475714683532715,0.05988747254014015,0.0046341633424162865,3091,2095,-0.3091207444667816,0.4285830557346344,0.00875988882035017,2816,1885,0.2610456645488739,0.013247656635940075,0.052765607833862305,3011,2186,0.11870866268873215,0.16318050026893616,0.02425881288945675,2627,1985,0.4835217595100403,0.03293699771165848,0.02603239193558693,3102,2088,0.16239066421985626,0.32614752650260925,0.02263680100440979,2721,2046,0.506635844707489,0.1423427015542984,0.038143716752529144,2497,2648,0.024114461615681648,0.18306344747543335,0.12474962323904037,2080,2042,0.3901139199733734,0.057560067623853683,0.1309611201286316,None,None,None,None,None,None,None,None,None,None,nan,nan,nan,nan,nan
