Process,Image Path,Max Temp,Min Temp,X_0,Y_0,Z_0,Vis_0,Pres_0,X_1,Y_1,Z_1,Vis_1,Pres_1,X_2,Y_2,Z_2,Vis_2,Pres_2,X_3,Y_3,Z_3,Vis_3,Pres_3,X_4,Y_4,Z_4,Vis_4,Pres_4,X_5,Y_5,Z_5,Vis_5,Pres_5,X_6,Y_6,Z_6,Vis_6,Pres_6,X_7,Y_7,Z_7,Vis_7,Pres_7,X_8,Y_8,Z_8,Vis_8,Pres_8,X_9,Y_9,Z_9,Vis_9,Pres_9,X_10,Y_10,Z_10,Vis_10,Pres_10,X_11,Y_11,Z_11,Vis_11,Pres_11,X_12,Y_12,Z_12,Vis_12,Pres_12,X_13,Y_13,Z_13,Vis_13,Pres_13,X_14,Y_14,Z_14,Vis_14,Pres_14,X_15,Y_15,Z_15,Vis_15,Pres_15,X_16,Y_16,Z_16,Vis_16,Pres_16,X_17,Y_17,Z_17,Vis_17,Pres_17,X_18,Y_18,Z_18,Vis_18,Pres_18,X_19,Y_19,Z_19,Vis_19,Pres_19,X_20,Y_20,Z_20,Vis_20,Pres_20,X_21,Y_21,Z_21,Vis_21,Pres_21,X_22,Y_22,Z_22,Vis_22,Pres_22,X_23,Y_23,Z_23,Vis_23,Pres_23,X_24,Y_24,Z_24,Vis_24,Pres_24,X_25,Y_25,Z_25,Vis_25,Pres_25,X_26,Y_26,Z_26,Vis_26,Pres_26,X_27,Y_27,Z_27,Vis_27,Pres_27,X_28,Y_28,Z_28,Vis_28,Pres_28,X_29,Y_29,Z_29,Vis_29,Pres_29,X_30,Y_30,Z_30,Vis_30,Pres_30,X_31,Y_31,Z_31,Vis_31,Pres_31,X_32,Y_32,Z_32,Vis_32,Pres_32,torso_x,torso_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
False,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123185913.jpeg,41.8,36.0
True,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123190015.jpeg,41.8,36.3,1224,1133,-0.0408986397087574,0.9999362230300903,0.9999607801437378,1153,1182,0.0149632403627038,0.9999179840087891,0.9999500513076782,1156,1190,0.014508922584354877,0.9998867511749268,0.9999544620513916,1169,1199,0.014390697702765465,0.999942421913147,0.9999399185180664,1151,1192,-0.03164864331483841,0.9999479055404663,0.9999136924743652,1154,1211,-0.03203253075480461,0.9999239444732666,0.9998965263366699,1142,1262,-0.03213106095790863,0.9999454021453857,0.9998319149017334,1230,1313,0.23688377439975739,0.9999551773071289,0.9999606609344482,1203,1454,0.01949353888630867,0.9998327493667603,0.9997339844703674,1349,1180,0.04373287782073021,0.999783456325531,0.9997307658195496,1338,1218,-0.023140059784054756,0.999833345413208,0.9995381832122803,1725,1229,0.28316396474838257,0.9996570348739624,0.9995410442352295,1691,1970,0.04243776202201843,0.9984073042869568,0.9943985342979431,1596,808,0.27658721804618835,0.40731751918792725,0.991356372833252,1961,2366,-0.1165492907166481,0.6988339424133301,0.8072290420532227,1183,772,0.13243235647678375,0.716057300567627,0.9978485107421875,1617,2255,-0.217042937874794,0.6013785004615784,0.9824334383010864,1071,702,0.11344848573207855,0.678081750869751,0.9924991726875305,1525,2228,-0.24874813854694366,0.5247960090637207,0.963484525680542,1054,752,0.10482413321733475,0.6816234588623047,0.9939514398574829,1474,2179,-0.2392977923154831,0.5388354063034058,0.977382242679596,1104,806,0.12392611801624298,0.6337120532989502,0.9971498847007751,1518,2164,-0.21710194647312164,0.46215546131134033,0.988811731338501,2588,1221,0.08349955826997757,0.960141122341156,0.9649694561958313,2724,1641,-0.08409944921731949,0.9252302050590515,0.8783888220787048,2447,699,-0.01581774279475212,0.026987224817276,0.915407121181488,2764,1790,-0.28533437848091125,0.028009682893753052,0.8618623614311218,2744,807,0.10307992994785309,0.009769804775714874,0.6669011116027832,2898,1501,-0.13451425731182098,0.008678536862134933,0.4103323817253113,2864,867,0.11243775486946106,0.037419892847537994,0.5043371915817261,2964,1430,-0.11787134408950806,0.01713384874165058,0.393410325050354,2688,664,0.02070886641740799,0.011552316136658192,0.5188610553741455,2854,1435,-0.22031563520431519,0.007539423182606697,0.3510649502277374,1708,1600,None,None,1183,772,None,None,None,None
True,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123190117.jpeg,41.4,35.9,1285,1304,-0.5089272856712341,0.9999959468841553,0.9999990463256836,1197,1272,-0.4699132442474365,0.9999943971633911,0.9999983310699463,1198,1206,-0.47030940651893616,0.9999924898147583,0.9999980926513672,1196,1216,-0.47027578949928284,0.9999951124191284,0.9999969005584717,1209,1380,-0.4972596764564514,0.9999964237213135,0.9999972581863403,1211,1420,-0.49770426750183105,0.9999948740005493,0.9999963045120239,1211,1460,-0.4978645443916321,0.9999951124191284,0.9999926090240479,1246,1260,-0.25561243295669556,0.999993085861206,0.9999961853027344,1256,1584,-0.38139304518699646,0.9999854564666748,0.999984622001648,1376,1288,-0.42220422625541687,0.9999266862869263,0.9999611377716064,1377,1399,-0.46191462874412537,0.999934196472168,0.9999352693557739,1535,1247,-0.15277701616287231,0.999832272529602,0.9997742772102356,1564,1848,-0.22898727655410767,0.9992891550064087,0.9989719390869141,1580,983,-0.2184583693742752,0.42688873410224915,0.9939188957214355,1749,2169,-0.25049924850463867,0.7442532181739807,0.9782490730285645,1251,864,-0.37823131680488586,0.8103981614112854,0.9996777772903442,1549,2134,-0.26149460673332214,0.7421205043792725,0.9984251260757446,1138,830,-0.408417671918869,0.7937729954719543,0.9990596175193787,1502,2107,-0.2772313952445984,0.659966230392456,0.9956817626953125,1072,870,-0.42323264479637146,0.7947492003440857,0.9992932081222534,1423,2064,-0.27894455194473267,0.6590736508369446,0.9972900152206421,1120,940,-0.3888741731643677,0.7518928647041321,0.9996892213821411,1442,2072,-0.2633587121963501,0.5957626700401306,0.9987572431564331,2188,1356,-0.004702629521489143,0.9699527025222778,0.9824533462524414,2217,1664,0.004127976018935442,0.9580052495002747,0.9727607369422913,2317,1442,-0.02818792499601841,0.018972687423229218,0.9896211624145508,2381,2000,-0.13602343201637268,0.021154338493943214,0.9872230291366577,2852,1738,-0.039947524666786194,0.022313307970762253,0.9331820011138916,2863,1946,-0.15245340764522552,0.02197127602994442,0.8417709469795227,2980,1777,-0.04698411747813225,0.056448303163051605,0.8147091269493103,2987,1857,-0.15602923929691315,0.06697478890419006,0.7997917532920837,2887,1841,-0.11645252257585526,0.022044381126761436,0.8540694713592529,2920,2165,-0.21675683557987213,0.01962406001985073,0.6890771985054016,1550,1548,1549,2134,1145,876,None,None,None,None
False,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123190219.jpeg,41.6,36.1
False,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123190320.jpeg,41.7,36.2
True,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123190422.jpeg,41.6,36.2,1257,1435,-0.43654897809028625,0.9998977184295654,0.9999812841415405,1169,1468,-0.4111518859863281,0.9998241066932678,0.9999576807022095,1153,1391,-0.4116820693016052,0.9997643828392029,0.9999538660049438,1152,1389,-0.4116859436035156,0.9998574256896973,0.9999293088912964,1165,1611,-0.428568035364151,0.9998705387115479,0.9999502897262573,1172,1616,-0.4289124608039856,0.9998576641082764,0.9999467134475708,1198,1587,-0.42900994420051575,0.99989914894104,0.9999253749847412,1225,1363,-0.2544820308685303,0.999836802482605,0.9998975992202759,1263,1679,-0.3398003876209259,0.9995517134666443,0.9998701810836792,1344,1395,-0.370903342962265,0.9995799660682678,0.9999141693115234,1358,1510,-0.39939144253730774,0.9996861219406128,0.9999126195907593,1508,1219,-0.1972687691450119,0.9998922348022461,0.9998576641082764,1645,1882,-0.23003916442394257,0.9998990297317505,0.9998518228530884,1705,704,-0.2820870280265808,0.547313392162323,0.9940286874771118,1879,2072,-0.3579029440879822,0.7140604257583618,0.9976176619529724,1900,1129,-0.44722411036491394,0.5573462843894958,0.999887228012085,1647,2221,-0.5212196111679077,0.9733331799507141,0.9999547004699707,1983,1214,-0.4832298159599304,0.5388554334640503,0.9996938705444336,1569,2266,-0.5696121454238892,0.9710342884063721,0.9998018145561218,1898,1320,-0.47258445620536804,0.518363893032074,0.999804675579071,1522,2232,-0.5581182241439819,0.9723676443099976,0.9999020099639893,1889,1303,-0.4422919750213623,0.455098956823349,0.9999057054519653,1557,2185,-0.5226689577102661,0.9632121920585632,0.9999632835388184,2064,1111,0.024920012801885605,0.9890234470367432,0.9965022802352905,2259,1399,-0.025637684389948845,0.9875783324241638,0.9944747090339661,2034,689,-0.1466122567653656,0.006234904285520315,0.9538804888725281,2286,1268,-0.18136514723300934,0.002530747791752219,0.9766110181808472,2489,636,-0.07729578763246536,0.0025335659738630056,0.874444305896759,2410,744,-0.0500849112868309,0.0023180069401860237,0.893498420715332,2597,635,-0.07217004150152206,0.014153425581753254,0.7763276100158691,2458,640,-0.0357152596116066,0.00785146001726389,0.8728206157684326,2547,571,-0.1408132016658783,0.004492330364882946,0.7555683851242065,2408,672,-0.10410900413990021,0.0027762094978243113,0.7506957650184631,1576,1550,1574,2226,None,None,None,None,None,None
True,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123190524.jpeg,41.7,36.4,1296,1191,-0.2595612406730652,0.9964364767074585,0.9675946235656738,1186,1257,-0.1924111247062683,0.9955666661262512,0.9743185639381409,1185,1265,-0.19316694140434265,0.9959327578544617,0.9828572273254395,1185,1271,-0.1932545155286789,0.9977656602859497,0.9849174618721008,1181,1296,-0.28667324781417847,0.9963846206665039,0.9421065449714661,1177,1340,-0.2873384654521942,0.9962253570556641,0.9428474307060242,1179,1390,-0.287751168012619,0.9967711567878723,0.9313319325447083,1271,1484,0.09918983280658722,0.9993280172348022,0.9945228099822998,1271,1624,-0.3263159394264221,0.9951203465461731,0.9153432250022888,1410,1228,-0.1429257094860077,0.9982590079307556,0.9884578585624695,1418,1266,-0.27251455187797546,0.9976366758346558,0.9587365984916687,1863,1242,0.32846787571907043,0.9990125894546509,0.997653067111969,1858,2169,-0.3550173044204712,0.9718361496925354,0.8427727222442627,2285,676,0.47903504967689514,0.6351087689399719,0.8752931356430054,2570,2446,-0.4400666356086731,0.6838130354881287,0.08586565405130386,1713,922,0.2534804344177246,0.7555205225944519,0.9936326146125793,1814,2456,-0.297635942697525,0.21023359894752502,0.4620557725429535,1568,1048,0.24426552653312683,0.7389371991157532,0.990009069442749,1692,2431,-0.3384489119052887,0.16801239550113678,0.5000303983688354,1520,1118,0.21551786363124847,0.762265682220459,0.9917071461677551,1644,2424,-0.3198770582675934,0.18868164718151093,0.5322926044464111,1607,1105,0.23891805112361908,0.7137547731399536,0.9943670630455017,1700,2393,-0.2862946391105652,0.16644184291362762,0.6129894256591797,3435,1521,0.20963601768016815,0.38819602131843567,0.06416057795286179,3574,2065,-0.2102840691804886,0.17855943739414215,0.016358839347958565,2731,798,0.3172367811203003,0.015572904609143734,0.10010939836502075,3243,1745,-0.5031179189682007,0.026406731456518173,0.026284286752343178,3122,1415,0.5109567642211914,0.0027683512307703495,0.0621444508433342,3072,1816,-0.09575071185827255,0.0039358013309538364,0.007872150279581547,3201,1473,0.5291710495948792,0.0065590678714215755,0.04735955595970154,3116,1853,-0.04288070276379585,0.009179709479212761,0.014317731373012066,3014,1642,0.42212462425231934,0.004008543211966753,0.12255019694566727,2716,1770,-0.09255380928516388,0.005261997692286968,0.03681143373250961,1860,1706,None,None,1602,1048,None,None,None,None
True,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123190625.jpeg,41.8,36.2,1399,1102,-0.17853479087352753,0.9673076272010803,0.904981255531311,1286,1179,-0.14469212293624878,0.9409763813018799,0.9458175301551819,1287,1198,-0.14546875655651093,0.9575417041778564,0.9700597524642944,1289,1216,-0.14559988677501678,0.9762844443321228,0.9768189787864685,1279,1195,-0.21981079876422882,0.938569962978363,0.8399690389633179,1277,1230,-0.22062088549137115,0.9426592588424683,0.8391196727752686,1276,1274,-0.22098425030708313,0.9469677805900574,0.8095273971557617,1316,1416,0.05153041332960129,0.9939495325088501,0.9944154024124146,1316,1518,-0.28310123085975647,0.9317689538002014,0.814986526966095,1508,1164,-0.0860970988869667,0.9912514090538025,0.987736701965332,1505,1193,-0.19078810513019562,0.9828972220420837,0.9417372345924377,1880,1239,0.2037474364042282,0.9996604919433594,0.9993902444839478,1915,2104,-0.22971028089523315,0.980709433555603,0.9165834784507751,2259,684,0.22358037531375885,0.9571425914764404,0.9925947785377502,2779,2303,-0.21036677062511444,0.7316279411315918,0.4284191429615021,1757,870,-0.10992098599672318,0.941184401512146,0.9987952709197998,2414,1889,-0.030454296618700027,0.10058797895908356,0.5960521697998047,1642,940,-0.16346707940101624,0.8959566354751587,0.9963341951370239,2343,1747,-0.05501929298043251,0.0733141377568245,0.5729139447212219,1586,989,-0.17085866630077362,0.9036874771118164,0.9972419738769531,2229,1788,-0.04127035662531853,0.07650016993284225,0.5882713198661804,1663,997,-0.11894617974758148,0.8826448321342468,0.998239278793335,2246,1831,-0.02140669897198677,0.06995102763175964,0.665341854095459,3520,1530,0.1421668529510498,0.688029944896698,0.4149559438228607,3568,2141,-0.14261247217655182,0.378396213054657,0.09974789619445801,4663,1419,0.1367933750152588,0.017609471455216408,0.06242683157324791,4728,1980,-0.196849524974823,0.018479827791452408,0.006712861359119415,5969,1564,0.39612066745758057,0.0033432089257985353,0.004207021556794643,5877,2137,0.32591956853866577,0.0034461449831724167,0.0006208576960489154,6156,1573,0.4066691994667053,0.0037977772299200296,0.0024887684267014265,6052,2211,0.37156787514686584,0.0025389401707798243,0.0010222820565104485,6271,1718,0.143509641289711,0.004143266007304192,0.007837728597223759,6126,1953,0.17294439673423767,0.0024779944214969873,0.0024161175824701786,1898,1672,None,None,1662,949,None,None,None,None
True,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123190727.jpeg,41.7,36.2,1354,1067,-0.2424861043691635,0.9891394972801208,0.9463097453117371,1270,1134,-0.2092638462781906,0.9721821546554565,0.9487156271934509,1275,1147,-0.21011842787265778,0.9761403799057007,0.9622644782066345,1279,1160,-0.2100648432970047,0.9820299744606018,0.9608082175254822,1271,1159,-0.24970205128192902,0.9796881079673767,0.9279246926307678,1279,1190,-0.25029581785202026,0.9847554564476013,0.9441649317741394,1287,1230,-0.2507465183734894,0.9879075884819031,0.9435670971870422,1327,1356,-0.045264679938554764,0.9913329482078552,0.9763909578323364,1339,1474,-0.22151702642440796,0.9814715385437012,0.939344048500061,1488,1102,-0.17010140419006348,0.992581844329834,0.9824023842811584,1492,1128,-0.22738228738307953,0.9917842149734497,0.9571256637573242,1868,1098,-0.009383782744407654,0.999009370803833,0.9963776469230652,1833,2053,-0.19741618633270264,0.9940565824508667,0.96970134973526,2517,907,-0.17926949262619019,0.6540074348449707,0.9497352838516235,2308,2444,-0.37771669030189514,0.9013574123382568,0.9357596635818481,3142,922,-0.7087236046791077,0.3640800416469574,0.9074084162712097,1808,2279,-0.6100780963897705,0.8750852942466736,0.989818274974823,3437,919,-0.8165799379348755,0.37446102499961853,0.8164628744125366,1675,2214,-0.7215378880500793,0.8320986032485962,0.9806533455848694,3294,1076,-0.866397500038147,0.41430050134658813,0.860864520072937,1626,2160,-0.717185378074646,0.8441032767295837,0.9860135912895203,3211,1069,-0.7410350441932678,0.39322036504745483,0.9001323580741882,1685,2162,-0.6193070411682129,0.795674741268158,0.9917840957641602,3369,1373,0.05773930251598358,0.8082642555236816,0.5545996427536011,3361,1950,-0.058128152042627335,0.772691011428833,0.46713054180145264,4325,1173,0.39597952365875244,0.008670262061059475,0.047888848930597305,4179,1938,0.22224806249141693,0.008734961040318012,0.06752418726682663,5398,1314,0.8723557591438293,0.004305252339690924,0.005674418061971664,5158,1936,0.8278339505195618,0.00288098375312984,0.007912032306194305,5566,1304,0.9041537642478943,0.005949103273451328,0.003957600332796574,5315,1930,0.881065845489502,0.0027577956207096577,0.011681102216243744,5667,1496,0.6571232676506042,0.004156423266977072,0.01469697616994381,5429,1847,0.6812971830368042,0.0021339161321520805,0.019794516265392303,1850,1576,1698,2204,None,None,None,None,None,None
True,/data/uabcvmsc/shared/newborn/46/23.11.24-24.11.24/HM20241123190828.jpeg,41.5,35.9,1309,1042,-0.27323776483535767,0.9919087290763855,0.9702858328819275,1203,1152,-0.23492980003356934,0.9804949760437012,0.9746932983398438,1205,1177,-0.23569585382938385,0.9827600717544556,0.9816027283668518,1210,1203,-0.2356840968132019,0.9884468913078308,0.9814367890357971,1203,1176,-0.2861359417438507,0.9868999123573303,0.9653809070587158,1204,1219,-0.2869676351547241,0.9900215268135071,0.9741981625556946,1205,1274,-0.2874768078327179,0.992864727973938,0.974477231502533,1286,1387,-0.0328490175306797,0.9942795038223267,0.9895602464675903,1273,1501,-0.25630396604537964,0.9879940748214722,0.9754747748374939,1439,1105,-0.18090961873531342,0.9955171942710876,0.9928374886512756,1440,1131,-0.25304731726646423,0.9949870109558105,0.982964038848877,1860,1127,0.06836622208356857,0.9992513060569763,0.9979766011238098,1813,2170,-0.20185117423534393,0.9956488013267517,0.9880629777908325,2765,901,0.092890664935112,0.5229184031486511,0.8427659273147583,2292,2451,-0.34040120244026184,0.849101722240448,0.8018514513969421,3284,1045,-0.2779797315597534,0.16945314407348633,0.6434462070465088,1786,2215,-0.5133036375045776,0.6622002124786377,0.9353022575378418,3556,1076,-0.3494024872779846,0.17039810121059418,0.5355105996131897,1671,2152,-0.6124739050865173,0.5554801821708679,0.9184027314186096,3478,1153,-0.40861308574676514,0.20854389667510986,0.5920765399932861,1595,2120,-0.6108952164649963,0.5906912088394165,0.9312969446182251,3401,1164,-0.3085077404975891,0.20579081773757935,0.6354725956916809,1637,2128,-0.5214344263076782,0.5341874957084656,0.9516212344169617,3563,1511,0.06669006496667862,0.24243523180484772,0.06195393204689026,3494,2212,-0.06710312515497208,0.21544776856899261,0.0545586422085762,5066,1558,0.19826500117778778,0.0027016219682991505,0.0037137572653591633,4856,2244,-0.019928857684135437,0.003012966364622116,0.006144693586975336,6450,1685,0.6678881049156189,0.0013256226666271687,0.0007336256676353514,6217,2381,0.7841706871986389,0.0009083212935365736,0.001220974954776466,6657,1644,0.6947712898254395,0.00198446330614388,0.0006008758791722357,6403,2409,0.8555869460105896,0.0008982670842669904,0.002119782380759716,6716,1924,0.355470210313797,0.001449435600079596,0.0023621213622391224,6563,2305,0.6021167039871216,0.0007495096069760621,0.004209741018712521,1836,1648,None,None,None,None,None,None,None,None
