Process,Image Path,Max Temp,Min Temp
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116113815.jpeg,39.4,31.5
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116113917.jpeg,40.2,32.3
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114018.jpeg,40.7,32.9
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114120.jpeg,41.3,33.6
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114221.jpeg,41.9,33.6
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114322.jpeg,42.0,33.5
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114424.jpeg,41.7,33.6
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114525.jpeg,42.3,33.9
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114626.jpeg,42.0,33.7
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114727.jpeg,41.9,33.7
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114829.jpeg,43.3,33.8
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116114930.jpeg,42.0,31.5
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115031.jpeg,41.6,32.8
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115132.jpeg,41.8,32.9
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115234.jpeg,41.9,33.6
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115335.jpeg,42.1,33.8
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115436.jpeg,41.5,33.3
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115537.jpeg,41.9,33.7
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115639.jpeg,42.1,33.6
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115740.jpeg,42.0,33.8
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115841.jpeg,41.5,33.6
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116115942.jpeg,41.2,33.1
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120044.jpeg,41.3,33.3
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120145.jpeg,41.2,33.1
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120246.jpeg,41.0,33.0
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120347.jpeg,41.3,33.3
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120449.jpeg,41.2,33.3
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120550.jpeg,41.7,33.4
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120651.jpeg,41.7,33.3
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120753.jpeg,41.4,33.2
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120854.jpeg,41.2,33.0
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116120955.jpeg,41.2,32.8
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116121056.jpeg,41.4,33.0
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116121158.jpeg,41.3,33.1
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116121259.jpeg,41.3,32.9
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116121400.jpeg,40.9,32.9
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116121501.jpeg,40.9,32.8
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116121602.jpeg,40.8,32.7
True,/data/uabcvmsc/shared/newborn/46/16.11-17.11-18.11.24/HM20241116121703.jpeg,40.9,32.7
