Process,Image Path,Max Temp,Min Temp
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153213.jpeg,41.9,33.8
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153315.jpeg,41.7,33.7
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153416.jpeg,41.6,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153517.jpeg,41.5,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153618.jpeg,41.7,33.8
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153720.jpeg,41.6,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153821.jpeg,41.6,33.4
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121153923.jpeg,41.6,33.7
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154024.jpeg,41.5,33.7
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154125.jpeg,41.5,33.7
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154226.jpeg,41.7,33.8
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154328.jpeg,41.5,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154429.jpeg,41.3,33.3
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154530.jpeg,41.3,33.3
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154632.jpeg,41.8,33.9
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154733.jpeg,41.7,33.7
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154834.jpeg,41.8,33.9
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121154936.jpeg,41.7,33.8
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155037.jpeg,41.7,33.9
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155138.jpeg,41.7,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155239.jpeg,41.9,34.1
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155341.jpeg,41.7,33.9
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155442.jpeg,41.8,34.1
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155543.jpeg,41.3,33.5
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155644.jpeg,41.7,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155745.jpeg,41.7,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155847.jpeg,41.8,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121155948.jpeg,42.1,33.8
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121160049.jpeg,41.8,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121160151.jpeg,41.7,33.7
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121160252.jpeg,41.7,33.7
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121160353.jpeg,41.8,33.7
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121160455.jpeg,41.8,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121160556.jpeg,41.5,33.4
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121160657.jpeg,41.6,33.4
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121160758.jpeg,41.7,33.5
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121160900.jpeg,41.6,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121161001.jpeg,41.7,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121161102.jpeg,41.4,33.3
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121161203.jpeg,41.5,33.3
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121161305.jpeg,41.5,33.6
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121161406.jpeg,41.4,33.3
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121161507.jpeg,41.9,33.8
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121161609.jpeg,41.5,33.0
True,/data/uabcvmsc/shared/newborn/46/21.11.24 -22.11.24/HM20241121161710.jpeg,41.6,33.4
