Process,Image Path,Max Temp,Min Temp
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214032916.jpeg,42.9,32.0
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033018.jpeg,42.7,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033119.jpeg,42.9,31.3
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033220.jpeg,42.8,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033321.jpeg,42.8,31.1
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033423.jpeg,42.6,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033524.jpeg,42.3,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033625.jpeg,41.7,31.5
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033727.jpeg,41.6,31.5
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033828.jpeg,41.3,31.4
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214033929.jpeg,41.4,31.5
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034030.jpeg,41.5,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034132.jpeg,41.4,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034232.jpeg,41.4,31.6
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034334.jpeg,41.5,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034435.jpeg,41.3,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034536.jpeg,41.5,31.8
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034637.jpeg,41.2,31.5
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034738.jpeg,41.4,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034840.jpeg,41.6,27.2
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214034941.jpeg,41.6,29.5
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035042.jpeg,41.6,31.8
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035143.jpeg,41.7,31.8
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035244.jpeg,41.7,32.0
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035345.jpeg,41.8,32.0
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035446.jpeg,41.6,31.8
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035548.jpeg,41.7,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035649.jpeg,41.9,32.0
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035750.jpeg,41.7,31.8
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035851.jpeg,42.1,32.0
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214035953.jpeg,41.9,32.3
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214040054.jpeg,41.7,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214040155.jpeg,41.9,32.2
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214040257.jpeg,41.8,32.0
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214040358.jpeg,41.8,31.8
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214040459.jpeg,41.8,32.1
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214040601.jpeg,42.0,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214040702.jpeg,42.0,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214040803.jpeg,42.0,31.7
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214040904.jpeg,42.2,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041006.jpeg,42.2,32.3
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041107.jpeg,42.2,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041209.jpeg,41.9,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041310.jpeg,42.0,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041411.jpeg,42.0,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041512.jpeg,41.4,31.5
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041614.jpeg,42.0,31.8
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041715.jpeg,41.9,31.8
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041816.jpeg,42.0,31.9
True,/data/uabcvmsc/shared/newborn/53/14.12.24/HM20241214041917.jpeg,41.8,31.5
