Process,Image Path,Max Temp,Min Temp
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217201317.jpeg,42.1,34.4
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217201419.jpeg,41.9,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217201520.jpeg,42.1,34.3
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217201622.jpeg,42.4,34.3
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217201723.jpeg,42.3,34.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217201824.jpeg,42.1,34.4
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217201925.jpeg,42.1,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202027.jpeg,42.0,34.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202128.jpeg,42.2,34.3
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202229.jpeg,41.9,33.7
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202330.jpeg,41.9,33.8
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202432.jpeg,41.8,33.8
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202533.jpeg,42.2,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202634.jpeg,41.8,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202735.jpeg,41.7,33.7
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202836.jpeg,41.7,33.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217202938.jpeg,42.1,33.7
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203039.jpeg,41.6,33.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203140.jpeg,41.6,33.4
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203241.jpeg,42.2,33.6
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203342.jpeg,42.0,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203444.jpeg,42.4,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203545.jpeg,42.4,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203646.jpeg,42.4,34.0
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203747.jpeg,42.5,34.3
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203848.jpeg,42.3,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217203949.jpeg,42.4,34.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217204051.jpeg,42.3,34.2
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217204152.jpeg,42.3,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217204253.jpeg,42.0,34.0
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217204354.jpeg,41.7,33.6
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217204456.jpeg,41.9,33.8
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217204557.jpeg,42.0,33.8
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217204658.jpeg,41.8,33.8
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217204800.jpeg,42.0,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217204901.jpeg,42.2,34.2
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205002.jpeg,41.9,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205103.jpeg,41.7,33.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205204.jpeg,41.7,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205306.jpeg,42.3,33.8
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205407.jpeg,41.9,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205508.jpeg,42.1,33.6
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205609.jpeg,42.3,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205711.jpeg,42.3,34.0
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205812.jpeg,41.9,33.7
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217205913.jpeg,42.1,33.7
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210015.jpeg,42.1,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210116.jpeg,42.1,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210217.jpeg,41.8,33.8
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210318.jpeg,41.8,33.6
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210419.jpeg,41.9,34.0
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210521.jpeg,41.7,33.6
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210622.jpeg,41.8,33.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210723.jpeg,42.0,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210824.jpeg,42.1,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217210926.jpeg,41.7,33.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211027.jpeg,42.1,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211128.jpeg,42.2,34.4
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211229.jpeg,42.0,34.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211330.jpeg,41.8,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211431.jpeg,42.0,33.7
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211533.jpeg,41.6,33.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211634.jpeg,41.9,34.3
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211735.jpeg,42.0,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211837.jpeg,41.7,34.0
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217211938.jpeg,42.1,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212039.jpeg,41.8,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212140.jpeg,42.0,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212242.jpeg,41.9,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212343.jpeg,42.0,34.0
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212444.jpeg,41.8,33.9
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212545.jpeg,42.1,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212646.jpeg,42.2,34.4
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212748.jpeg,41.9,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212849.jpeg,41.8,34.0
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217212950.jpeg,41.9,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217213051.jpeg,42.0,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217213152.jpeg,41.9,34.1
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217213253.jpeg,42.2,34.5
True,/data/uabcvmsc/shared/newborn/54/17.12.24-18.12.24/HM20241217213355.jpeg,41.9,34.1
